instanceId,iteration,projectId,testId,category,tempC,humidity,durationDays,needsVoltage,dueDateDays,samples,sampleIdx,chamberId,stationIdx,startDay,endDay
I1,1,P2,GAS_43,GAS,43,NORMAL,10,true,40,5,0,T008,0,0,10
I1,1,P2,PULLDOWN_43,PULLDOWN,43,NORMAL,5,true,40,5,0,T008,0,10,15
I1,1,P2,PULLDOWN_43,PULLDOWN,43,NORMAL,5,true,40,5,1,T008,1,10,15
I1,1,P2,PULLDOWN_43,PULLDOWN,43,NORMAL,5,true,40,5,2,T008,2,10,15
I1,1,P2,PULLDOWN_43,PULLDOWN,43,NORMAL,5,true,40,5,3,T008,3,10,15
I1,1,P2,PULLDOWN_43,PULLDOWN,43,NORMAL,5,true,40,5,4,T008,4,10,15
I1,1,P2,EE_32,OTHER,32,NORMAL,15,true,40,5,0,T018,0,15,30
I1,1,P2,EE_16,OTHER,16,NORMAL,15,true,40,5,1,T019,0,15,30
I1,1,P2,PERF_25,OTHER,25,NORMAL,10,true,40,5,2,T022,0,15,25
I1,1,P2,PERF_38,OTHER,38,NORMAL,10,true,40,5,3,T002,0,15,25
I1,1,P2,PERF_16,OTHER,16,NORMAL,10,true,40,5,4,T019,1,15,25
I1,1,P2,CU_10,CONSUMER_USAGE,10,NORMAL,15,true,40,5,2,T003,0,25,40
I1,1,P2,CU_25,CONSUMER_USAGE,25,85%,15,true,40,5,3,T004,0,25,40
I1,1,P2,CU_32,CONSUMER_USAGE,32,85%,15,true,40,5,4,T005,0,25,40
I1,1,P1,GAS_43,GAS,43,NORMAL,10,false,90,2,0,T007,0,0,10
I1,1,P1,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,90,2,0,T007,0,10,15
I1,1,P1,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,90,2,1,T007,1,10,15
I1,1,P1,EE_32,OTHER,32,NORMAL,15,false,90,2,0,T006,0,15,30
I1,1,P1,EE_16,OTHER,16,NORMAL,15,false,90,2,1,T011,0,15,30
I1,1,P1,PERF_25,OTHER,25,NORMAL,10,false,90,2,0,T022,0,30,40
I1,1,P1,PERF_38,OTHER,38,NORMAL,10,false,90,2,1,T002,0,30,40
I1,1,P1,PERF_10,OTHER,10,NORMAL,10,false,90,2,0,T001,0,40,50
I1,1,P1,CU_10,CONSUMER_USAGE,10,NORMAL,15,false,90,2,1,T001,1,40,55
I1,1,P1,CU_25,CONSUMER_USAGE,25,85%,15,false,90,2,0,T004,0,50,65
I1,1,P1,CU_32,CONSUMER_USAGE,32,85%,15,false,90,2,1,T005,0,55,70
I2,1,P2,GAS_43,GAS,43,NORMAL,10,true,45,2,0,T005,0,0,10
I2,1,P2,PULLDOWN_43,PULLDOWN,43,NORMAL,5,true,45,2,0,T005,0,10,15
I2,1,P2,PULLDOWN_43,PULLDOWN,43,NORMAL,5,true,45,2,1,T005,1,10,15
I2,1,P2,EE_25,OTHER,25,NORMAL,16,true,45,2,0,T004,0,15,31
I2,1,P2,PERF_25,OTHER,25,NORMAL,10,true,45,2,1,T004,1,15,25
I2,1,P2,PERF_43,OTHER,43,NORMAL,10,true,45,2,1,T005,0,25,35
I2,1,P2,PERF_16,OTHER,16,NORMAL,10,true,45,2,0,T021,0,31,41
I2,1,P2,FREEZE_25,OTHER,25,NORMAL,10,true,45,2,1,T004,0,35,45
I2,1,P2,TEMP_RISE_25,OTHER,25,NORMAL,5,true,45,2,0,T004,1,41,46
I2,1,P2,CU_10,CONSUMER_USAGE,10,NORMAL,15,true,45,2,1,T018,0,45,60
I2,1,P2,CU_25,CONSUMER_USAGE,25,85%,15,true,45,2,0,T002,0,46,61
I2,1,P2,CU_32,CONSUMER_USAGE,32,85%,15,true,45,2,1,T003,0,60,75
I2,1,P1,GAS_43,GAS,43,NORMAL,10,false,60,2,0,T005,2,0,10
I2,1,P1,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,60,2,0,T005,2,10,15
I2,1,P1,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,60,2,1,T005,3,10,15
I2,1,P1,EE_32,OTHER,32,NORMAL,15,false,60,2,0,T009,0,15,30
I2,1,P1,EE_16,OTHER,16,NORMAL,15,false,60,2,1,T021,1,15,30
I2,1,P1,PERF_25,OTHER,25,NORMAL,10,false,60,2,0,T004,2,30,40
I2,1,P1,PERF_38,OTHER,38,NORMAL,10,false,60,2,1,T001,0,30,40
I2,1,P1,PERF_10,OTHER,10,NORMAL,10,false,60,2,0,T007,0,40,50
I2,1,P1,CU_10,CONSUMER_USAGE,10,NORMAL,15,false,60,2,1,T007,1,40,55
I2,1,P1,CU_25,CONSUMER_USAGE,25,85%,15,false,60,2,0,T002,1,50,65
I2,1,P1,CU_32,CONSUMER_USAGE,32,85%,15,false,60,2,1,T003,1,55,70
