iteration,chamberId,stations,voltageCapable,humidityAdjustable,tempC,humidity
2,T001,8,false,false,43,NORMAL
2,T002,8,true,true,25,85%
2,T003,8,true,true,43,NORMAL
2,T004,8,true,true,32,NORMAL
2,T005,8,true,true,38,NORMAL
2,T006,8,false,false,16,NORMAL
2,T007,8,false,false,43,NORMAL
2,T008,12,true,false,25,NORMAL
2,T009,12,false,false,43,NORMAL
2,T010,12,false,true,25,85%
2,T011,12,false,true,32,85%
2,T012,12,false,true,32,NORMAL
2,T013,12,false,true,10,NORMAL
2,T014,6,false,true,32,85%
2,T015,6,false,true,25,NORMAL
2,T016,6,true,false,25,NORMAL
2,T017,6,true,false,43,NORMAL
2,T018,6,true,false,10,NORMAL
2,T019,6,true,false,43,NORMAL
2,T020,6,true,false,25,NORMAL
2,T021,6,true,false,10,NORMAL
2,T022,6,true,false,16,NORMAL
2,T023,6,true,false,43,NORMAL
2,T024,8,false,true,25,85%
2,T025,8,true,true,32,85%
2,T026,12,true,false,25,NORMAL
2,T027,12,true,false,10,NORMAL
2,T028,12,true,false,16,NORMAL
