iteration,horizonDays,chamberId,stations,busyDaysTotal,capacityDays,utilization
2,105,T002,8,510,840,0.6071
2,105,T018,6,305,630,0.4841
2,105,T025,8,375,840,0.4464
2,105,T022,6,245,630,0.3889
2,105,T004,8,315,840,0.3750
2,105,T003,8,315,840,0.3750
2,105,T013,12,465,1260,0.3690
2,105,T008,12,462,1260,0.3667
2,105,T019,6,230,630,0.3651
2,105,T021,6,220,630,0.3492
2,105,T006,8,270,840,0.3214
2,105,T007,8,260,840,0.3095
2,105,T001,8,255,840,0.3036
2,105,T005,8,250,840,0.2976
2,105,T011,12,375,1260,0.2976
2,105,T016,6,186,630,0.2952
2,105,T015,6,176,630,0.2794
2,105,T017,6,155,630,0.2460
2,105,T020,6,154,630,0.2444
2,105,T023,6,130,630,0.2063
2,105,T010,12,240,1260,0.1905
2,105,T009,12,200,1260,0.1587
2,105,T028,12,110,1260,0.0873
2,105,T026,12,72,1260,0.0571
2,105,T012,12,60,1260,0.0476
2,105,T027,12,10,1260,0.0079
