iteration,horizonDays,chamberId,stationIdx,busyDays,utilization
1,116,T002,4,75,0.6466
1,116,T004,0,75,0.6466
1,116,T016,1,68,0.5862
1,116,T016,4,67,0.5776
1,116,T004,1,65,0.5603
1,116,T004,2,65,0.5603
1,116,T017,3,60,0.5172
1,116,T002,2,60,0.5172
1,116,T002,7,60,0.5172
1,116,T002,6,60,0.5172
1,116,T025,4,60,0.5172
1,116,T025,0,60,0.5172
1,116,T016,2,57,0.4914
1,116,T016,3,57,0.4914
1,116,T016,0,56,0.4828
1,116,T017,1,55,0.4741
1,116,T017,2,55,0.4741
1,116,T004,4,55,0.4741
1,116,T021,4,55,0.4741
1,116,T006,0,52,0.4483
1,116,T016,5,51,0.4397
1,116,T018,0,50,0.4310
1,116,T004,6,50,0.4310
1,116,T027,2,50,0.4310
1,116,T027,0,50,0.4310
1,116,T022,0,50,0.4310
1,116,T022,5,50,0.4310
1,116,T022,3,50,0.4310
1,116,T021,0,50,0.4310
1,116,T021,1,50,0.4310
1,116,T021,2,50,0.4310
1,116,T021,3,50,0.4310
1,116,T007,0,45,0.3879
1,116,T007,1,45,0.3879
1,116,T017,4,45,0.3879
1,116,T008,4,45,0.3879
1,116,T008,1,45,0.3879
1,116,T008,0,45,0.3879
1,116,T007,2,45,0.3879
1,116,T002,1,45,0.3879
1,116,T002,0,45,0.3879
1,116,T002,5,45,0.3879
1,116,T025,5,45,0.3879
1,116,T025,2,45,0.3879
1,116,T025,3,45,0.3879
1,116,T025,1,45,0.3879
1,116,T025,6,45,0.3879
1,116,T017,0,45,0.3879
1,116,T004,3,45,0.3879
1,116,T003,4,45,0.3879
1,116,T003,6,45,0.3879
1,116,T010,0,45,0.3879
1,116,T010,1,45,0.3879
1,116,T010,7,45,0.3879
1,116,T010,4,45,0.3879
1,116,T010,2,45,0.3879
1,116,T010,3,45,0.3879
1,116,T020,0,45,0.3879
1,116,T006,1,42,0.3621
1,116,T006,2,42,0.3621
1,116,T005,4,40,0.3448
1,116,T017,5,40,0.3448
1,116,T005,0,40,0.3448
1,116,T007,6,40,0.3448
1,116,T007,7,40,0.3448
1,116,T007,4,40,0.3448
1,116,T007,5,40,0.3448
1,116,T001,0,40,0.3448
1,116,T004,5,40,0.3448
1,116,T027,1,40,0.3448
1,116,T022,1,40,0.3448
1,116,T022,2,40,0.3448
1,116,T022,4,40,0.3448
1,116,T021,5,40,0.3448
1,116,T006,3,37,0.3190
1,116,T019,1,36,0.3103
1,116,T006,7,36,0.3103
1,116,T006,5,36,0.3103
1,116,T006,4,36,0.3103
1,116,T004,7,35,0.3017
1,116,T027,4,35,0.3017
1,116,T020,3,35,0.3017
1,116,T020,1,35,0.3017
1,116,T020,2,35,0.3017
1,116,T018,1,31,0.2672
1,116,T018,5,30,0.2586
1,116,T018,2,30,0.2586
1,116,T005,6,30,0.2586
1,116,T005,7,30,0.2586
1,116,T005,5,30,0.2586
1,116,T005,2,30,0.2586
1,116,T005,3,30,0.2586
1,116,T008,7,30,0.2586
1,116,T008,5,30,0.2586
1,116,T008,6,30,0.2586
1,116,T008,3,30,0.2586
1,116,T008,2,30,0.2586
1,116,T007,3,30,0.2586
1,116,T002,3,30,0.2586
1,116,T014,0,30,0.2586
1,116,T001,2,30,0.2586
1,116,T001,3,30,0.2586
1,116,T001,1,30,0.2586
1,116,T001,4,30,0.2586
1,116,T025,7,30,0.2586
1,116,T003,5,30,0.2586
1,116,T003,3,30,0.2586
1,116,T003,0,30,0.2586
1,116,T003,7,30,0.2586
