iteration,chamberId,stationIdx,startDay,endDay,projectId,testId,category,tempC,humidity,durationDays,needsVoltage,dueDateDays,samples,sampleIdx
2,T001,0,0,10,P31,GAS_43,GAS,43,NORMAL,10,false,30,4,0
2,T001,0,10,15,P31,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,30,4,0
2,T001,0,15,25,P31,PERF_43,OTHER,43,NORMAL,10,false,30,4,3
2,T001,0,25,35,P19,PERF_43,OTHER,43,NORMAL,10,false,30,3,2
2,T001,0,40,50,P47,PERF_43,OTHER,43,NORMAL,10,false,70,3,2
2,T001,0,50,60,P15,PERF_43,OTHER,43,NORMAL,10,false,95,2,1
2,T001,0,60,70,P39,PERF_43,OTHER,43,NORMAL,10,false,120,2,1
2,T001,1,0,10,P48,GAS_43,GAS,43,NORMAL,10,false,30,3,0
2,T001,1,10,15,P31,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,30,4,1
2,T001,1,25,35,P23,PERF_43,OTHER,43,NORMAL,10,false,50,3,2
2,T001,1,45,55,P27,PERF_43,OTHER,43,NORMAL,10,false,95,2,1
2,T001,2,0,10,P19,GAS_43,GAS,43,NORMAL,10,false,30,3,0
2,T001,2,10,15,P31,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,30,4,2
2,T001,2,25,35,P35,PERF_43,OTHER,43,NORMAL,10,false,50,3,2
2,T001,2,45,55,P3,PERF_43,OTHER,43,NORMAL,10,false,95,2,1
2,T001,3,10,15,P31,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,30,4,3
2,T001,3,25,35,P7,PERF_43,OTHER,43,NORMAL,10,false,50,3,2
2,T001,3,40,45,P28,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,120,2,0
2,T001,4,10,15,P48,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,30,3,0
2,T001,4,25,35,P11,PERF_43,OTHER,43,NORMAL,10,false,50,3,2
2,T001,4,40,45,P28,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,120,2,1
2,T001,5,10,15,P48,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,30,3,1
2,T001,5,15,20,P32,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,60,3,0
2,T001,5,25,30,P8,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,60,5,0
2,T001,5,30,40,P43,PERF_43,OTHER,43,NORMAL,10,false,60,3,2
2,T001,5,40,45,P39,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,120,2,0
2,T001,6,10,15,P48,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,30,3,2
2,T001,6,15,20,P32,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,60,3,1
2,T001,6,25,30,P8,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,60,5,1
2,T001,6,30,35,P50,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,95,2,0
2,T001,6,40,45,P39,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,120,2,1
2,T001,7,10,15,P19,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,30,3,0
2,T001,7,15,20,P32,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,60,3,2
2,T001,7,25,30,P8,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,60,5,2
2,T001,7,30,35,P50,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,95,2,1
2,T001,7,40,45,P4,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,120,2,0
2,T002,0,15,30,P13,CU_25,CONSUMER_USAGE,25,85%,15,true,30,8,6
2,T002,0,30,45,P31,CU_25,CONSUMER_USAGE,25,85%,15,false,30,4,0
2,T002,0,45,60,P26,CU_25,CONSUMER_USAGE,25,85%,15,true,60,4,3
2,T002,0,60,75,P18,CU_25,CONSUMER_USAGE,25,85%,15,true,70,3,1
2,T002,0,80,95,P38,CU_25,CONSUMER_USAGE,25,85%,15,true,95,2,1
2,T002,1,25,40,P25,CU_25,CONSUMER_USAGE,25,85%,15,true,30,5,3
2,T002,1,40,55,P46,CU_25,CONSUMER_USAGE,25,85%,15,true,50,3,1
2,T002,1,55,70,P41,CU_25,CONSUMER_USAGE,25,85%,15,true,70,4,1
