iteration,horizonDays,chamberId,stationIdx,busyDays,utilization
2,105,T002,1,75,0.7143
2,105,T002,2,75,0.7143
2,105,T002,0,75,0.7143
2,105,T018,0,70,0.6667
2,105,T001,0,65,0.6190
2,105,T022,0,60,0.5714
2,105,T018,1,60,0.5714
2,105,T011,1,60,0.5714
2,105,T011,2,60,0.5714
2,105,T011,0,60,0.5714
2,105,T002,3,60,0.5714
2,105,T002,4,60,0.5714
2,105,T002,5,60,0.5714
2,105,T002,6,60,0.5714
2,105,T013,2,60,0.5714
2,105,T025,0,60,0.5714
2,105,T013,0,60,0.5714
2,105,T025,1,60,0.5714
2,105,T022,2,55,0.5238
2,105,T018,3,55,0.5238
2,105,T006,0,55,0.5238
2,105,T008,0,55,0.5238
2,105,T013,1,55,0.5238
2,105,T003,2,55,0.5238
2,105,T003,0,55,0.5238
2,105,T003,1,55,0.5238
2,105,T008,1,50,0.4762
2,105,T010,0,45,0.4286
2,105,T010,1,45,0.4286
2,105,T018,4,45,0.4286
2,105,T021,2,45,0.4286
2,105,T019,3,45,0.4286
2,105,T019,4,45,0.4286
2,105,T011,3,45,0.4286
2,105,T002,7,45,0.4286
2,105,T025,4,45,0.4286
2,105,T013,3,45,0.4286
2,105,T025,5,45,0.4286
2,105,T025,2,45,0.4286
2,105,T025,3,45,0.4286
2,105,T025,6,45,0.4286
2,105,T004,3,45,0.4286
2,105,T004,4,45,0.4286
2,105,T004,1,45,0.4286
2,105,T004,2,45,0.4286
2,105,T004,0,45,0.4286
2,105,T003,3,45,0.4286
2,105,T008,3,41,0.3905
2,105,T008,4,41,0.3905
2,105,T008,2,41,0.3905
2,105,T022,1,40,0.3810
2,105,T006,3,40,0.3810
2,105,T018,2,40,0.3810
2,105,T022,3,40,0.3810
2,105,T021,0,40,0.3810
2,105,T005,2,40,0.3810
2,105,T005,0,40,0.3810
2,105,T005,1,40,0.3810
2,105,T021,4,40,0.3810
2,105,T021,3,40,0.3810
2,105,T008,5,40,0.3810
2,105,T007,4,40,0.3810
2,105,T007,5,40,0.3810
2,105,T007,2,40,0.3810
2,105,T007,3,40,0.3810
2,105,T013,4,40,0.3810
2,105,T013,5,40,0.3810
2,105,T028,2,40,0.3810
2,105,T008,9,36,0.3429
2,105,T008,6,36,0.3429
2,105,T016,4,36,0.3429
2,105,T016,0,36,0.3429
2,105,T020,2,36,0.3429
2,105,T015,2,36,0.3429
2,105,T019,1,35,0.3333
2,105,T019,2,35,0.3333
2,105,T019,0,35,0.3333
2,105,T018,5,35,0.3333
2,105,T006,1,35,0.3333
2,105,T019,5,35,0.3333
2,105,T001,2,35,0.3333
2,105,T001,1,35,0.3333
2,105,T013,6,35,0.3333
2,105,T008,11,32,0.3048
2,105,T016,2,32,0.3048
2,105,T015,3,32,0.3048
2,105,T006,7,30,0.2857
2,105,T006,6,30,0.2857
2,105,T006,2,30,0.2857
2,105,T010,5,30,0.2857
2,105,T010,2,30,0.2857
2,105,T005,6,30,0.2857
2,105,T021,1,30,0.2857
2,105,T005,4,30,0.2857
2,105,T017,5,30,0.2857
2,105,T005,5,30,0.2857
2,105,T005,3,30,0.2857
2,105,T008,10,30,0.2857
2,105,T012,0,30,0.2857
2,105,T008,7,30,0.2857
2,105,T012,1,30,0.2857
2,105,T008,8,30,0.2857
2,105,T007,6,30,0.2857
2,105,T023,0,30,0.2857
2,105,T011,8,30,0.2857
2,105,T011,5,30,0.2857
2,105,T011,4,30,0.2857
2,105,T009,10,30,0.2857
2,105,T009,9,30,0.2857
2,105,T013,10,30,0.2857
2,105,T013,7,30,0.2857
2,105,T013,8,30,0.2857
2,105,T025,7,30,0.2857
2,105,T001,5,30,0.2857
2,105,T004,5,30,0.2857
2,105,T020,0,30,0.2857
2,105,T004,6,30,0.2857
2,105,T016,3,30,0.2857
2,105,T028,1,30,0.2857
2,105,T004,7,30,0.2857
2,105,T003,4,30,0.2857
2,105,T015,1,30,0.2857
2,105,T026,2,26,0.2476
2,105,T016,5,26,0.2476
2,105,T016,1,26,0.2476
2,105,T020,5,26,0.2476
2,105,T020,1,26,0.2476
2,105,T015,5,26,0.2476
2,105,T015,4,26,0.2476
2,105,T015,0,26,0.2476
2,105,T007,0,25,0.2381
2,105,T007,1,25,0.2381
2,105,T006,5,25,0.2381
2,105,T006,4,25,0.2381
2,105,T022,5,25,0.2381
2,105,T022,4,25,0.2381
2,105,T017,3,25,0.2381
2,105,T017,4,25,0.2381
2,105,T017,1,25,0.2381
2,105,T017,2,25,0.2381
2,105,T021,5,25,0.2381
2,105,T001,6,25,0.2381
2,105,T001,7,25,0.2381
2,105,T017,0,25,0.2381
2,105,T028,0,25,0.2381
2,105,T003,5,25,0.2381
2,105,T003,6,25,0.2381
2,105,T003,7,25,0.2381
2,105,T023,2,20,0.1905
2,105,T023,3,20,0.1905
2,105,T007,7,20,0.1905
2,105,T023,1,20,0.1905
2,105,T023,4,20,0.1905
2,105,T023,5,20,0.1905
2,105,T026,1,20,0.1905
2,105,T009,11,20,0.1905
2,105,T001,3,20,0.1905
2,105,T009,8,20,0.1905
2,105,T009,6,20,0.1905
2,105,T009,7,20,0.1905
2,105,T013,11,20,0.1905
2,105,T013,9,20,0.1905
2,105,T001,4,20,0.1905
2,105,T020,3,20,0.1905
2,105,T026,0,16,0.1524
2,105,T020,4,16,0.1524
2,105,T010,8,15,0.1429
2,105,T010,9,15,0.1429
2,105,T010,6,15,0.1429
2,105,T010,7,15,0.1429
2,105,T010,4,15,0.1429
2,105,T010,3,15,0.1429
2,105,T011,9,15,0.1429
2,105,T011,10,15,0.1429
2,105,T011,7,15,0.1429
2,105,T011,6,15,0.1429
2,105,T028,3,15,0.1429
2,105,T005,7,10,0.0952
2,105,T009,2,10,0.0952
2,105,T009,3,10,0.0952
2,105,T009,0,10,0.0952
2,105,T009,1,10,0.0952
2,105,T026,3,10,0.0952
2,105,T009,4,10,0.0952
2,105,T009,5,10,0.0952
2,105,T027,0,10,0.0952
